id,name,borough,lat,lng
145,"Long Island City/Hunters Point","Queens",40.745391,-73.948923
146,"Long Island City/Queens Plaza","Queens",40.754238,-73.934785
147,"Longwood","Bronx",40.819622,-73.898986
148,"Lower East Side","Manhattan",40.718898,-73.990935
149,"Madison","Brooklyn",40.604916,-73.948135
150,"Manhattan Beach","Brooklyn",40.580479,-73.943638
151,"Manhattan Valley","Manhattan",40.797939,-73.968174
152,"Manhattanville","Manhattan",40.817996,-73.953807
153,"Marble Hill","Manhattan",40.875867,-73.910345
154,"Marine Park/Floyd Bennett Field","Brooklyn",40.593554,-73.902603
155,"Marine Park/Mill Basin","Brooklyn",40.614603,-73.915278
156,"Mariners Harbor","Staten Island",40.631252,-74.167223
157,"Maspeth","Queens",40.723964,-73.902337
158,"Meatpacking/West Village West","Manhattan",40.734985,-74.008956
159,"Melrose South","Bronx",40.818261,-73.912752
160,"Middle Village","Queens",40.718326,-73.879989
161,"Midtown Center","Manhattan",40.758026,-73.977699
162,"Midtown East","Manhattan",40.756677,-73.97237
163,"Midtown North","Manhattan",40.764424,-73.977567
164,"Midtown South","Manhattan",40.748577,-73.985159
165,"Midwood","Brooklyn",40.620922,-73.956822
166,"Morningside Heights","Manhattan",40.809413,-73.961822
167,"Morrisania/Melrose","Bronx",40.827511,-73.902359
168,"Mott Haven/Port Morris","Bronx",40.807371,-73.916862
169,"Mount Hope","Bronx",40.849056,-73.905122
170,"Murray Hill","Manhattan",40.747747,-73.978492
171,"Murray Hill-Queens","Queens",40.768351,-73.809512
172,"New Dorp/Midland Beach","Staten Island",40.571761,-74.105015
1,"Newark Airport","EWR",40.69183,-74.174009
173,"North Corona","Queens",40.752477,-73.863039
174,"Norwood","Bronx",40.877097,-73.879104
175,"Oakland Gardens","Queens",40.742684,-73.754621
176,"Oakwood","Staten Island",40.56202,-74.122535
177,"Ocean Hill","Brooklyn",40.676608,-73.913636
178,"Ocean Parkway South","Brooklyn",40.617311,-73.970328
179,"Old Astoria","Queens",40.771508,-73.928303
180,"Ozone Park","Queens",40.675608,-73.84699
181,"Park Slope","Brooklyn",40.670422,-73.981437
182,"Parkchester","Bronx",40.837718,-73.85794
183,"Pelham Bay","Bronx",40.849165,-73.831621
184,"Pelham Bay Park","Bronx",40.868282,-73.807886
185,"Pelham Parkway","Bronx",40.854395,-73.854489
186,"Penn Station/Madison Sq West","Manhattan",40.748497,-73.992437
187,"Port Richmond","Staten Island",40.628171,-74.140796
189,"Prospect Heights","Brooklyn",40.677569,-73.967522
190,"Prospect Park","Brooklyn",40.661656,-73.969023
188,"Prospect-Lefferts Gardens","Brooklyn",40.658715,-73.94742
191,"Queens Village","Queens",40.71548,-73.741591
192,"Queensboro Hill","Queens",40.743809,-73.815311
193,"Queensbridge/Ravenswood","Queens",40.760278,-73.941992
194,"Randalls Island","Manhattan",40.790947,-73.924614
195,"Red Hook","Brooklyn",40.675557,-74.00919
196,"Rego Park","Queens",40.726254,-73.863364
197,"Richmond Hill","Queens",40.694563,-73.830903
198,"Ridgewood","Queens",40.706523,-73.901707
199,"Rikers Island","Bronx",40.791174,-73.882667
200,"Riverdale/North Riverdale/Fieldston","Bronx",40.899576,-73.906985
201,"Rockaway Park","Queens",40.577947,-73.843507
202,"Roosevelt Island","Manhattan",40.76215,-73.949731
203,"Rosedale","Queens",40.657847,-73.739455
204,"Rossville/Woodrow","Staten Island",40.540351,-74.207697
205,"Saint Albans","Queens",40.691197,-73.763157
206,"Saint George/New Brighton","Staten Island",40.639006,-74.102268
207,"Saint Michaels Cemetery/Woodside","Queens",40.763903,-73.899394
208,"Schuylerville/Edgewater Park","Bronx",40.823319,-73.823537
209,"Seaport","Manhattan",40.709051,-74.00366
210,"Sheepshead Bay","Brooklyn",40.592042,-73.940488
211,"SoHo","Manhattan",40.723918,-74.001507
212,"Soundview/Bruckner","Bronx",40.827944,-73.86961
213,"Soundview/Castle Hill","Bronx",40.817856,-73.858213
214,"South Beach/Dongan Hills","Staten Island",40.586757,-74.085493
215,"South Jamaica","Queens",40.694431,-73.791024
216,"South Ozone Park","Queens",40.67609,-73.81954
217,"South Williamsburg","Brooklyn",40.703917,-73.958586
218,"Springfield Gardens North","Queens",40.67206,-73.772998
219,"Springfield Gardens South","Queens",40.662172,-73.764498
220,"Spuyten Duyvil/Kingsbridge","Bronx",40.882383,-73.910717
221,"Stapleton","Staten Island",40.618769,-74.073809
222,"Starrett City","Brooklyn",40.647486,-73.882329
223,"Steinway","Queens",40.777384,-73.905411
224,"Stuy Town/Peter Cooper Village","Manhattan",40.731847,-73.976652
225,"Stuyvesant Heights","Brooklyn",40.688151,-73.931878
226,"Sunnyside","Queens",40.737683,-73.924702
227,"Sunset Park East","Brooklyn",40.641881,-74.004659
228,"Sunset Park West","Brooklyn",40.65237,-74.011223
229,"Sutton Place/Turtle Bay North","Manhattan",40.75673,-73.965173
230,"Times Sq/Theatre District","Manhattan",40.759817,-73.984198
231,"TriBeCa/Civic Center","Manhattan",40.717747,-74.007864
232,"Two Bridges/Seward Park","Manhattan",40.714736,-73.98306
233,"UN/Turtle Bay South","Manhattan",40.74994,-73.970463
234,"Union Sq","Manhattan",40.740295,-73.990425
235,"University Heights/Morris Heights","Bronx",40.852522,-73.916037
236,"Upper East Side North","Manhattan",40.78044,-73.957011
237,"Upper East Side South","Manhattan",40.768617,-73.965636
238,"Upper West Side North","Manhattan",40.791695,-73.973061
239,"Upper West Side South","Manhattan",40.783952,-73.978623
240,"Van Cortlandt Park","Bronx",40.894631,-73.882
241,"Van Cortlandt Village","Bronx",40.876533,-73.895625
242,"Van Nest/Morris Park","Bronx",40.846754,-73.850732
243,"Washington Heights North","Manhattan",40.857097,-73.93281
244,"Washington Heights South","Manhattan",40.841663,-73.941406
245,"West Brighton","Staten Island",40.630036,-74.102795
246,"West Chelsea/Hudson Yards","Manhattan",40.753282,-74.004015
247,"West Concourse","Bronx",40.828857,-73.924489
248,"West Farms/Bronx River","Bronx",40.834177,-73.872301
249,"West Village","Manhattan",40.734514,-74.002814
250,"Westchester Village/Unionport","Bronx",40.832104,-73.848628
251,"Westerleigh","Staten Island",40.61695,-74.125328
252,"Whitestone","Queens",40.788201,-73.815702
253,"Willets Point","Queens",40.760623,-73.841272
254,"Williamsbridge/Olinville","Bronx",40.882136,-73.858987
255,"Williamsburg (North Side)","Brooklyn",40.71872,-73.957408
256,"Williamsburg (South Side)","Brooklyn",40.710809,-73.95981
257,"Windsor Terrace","Brooklyn",40.653597,-73.977997
258,"Woodhaven","Queens",40.68868,-73.855764
259,"Woodlawn/Wakefield","Bronx",40.897948,-73.852201
260,"Woodside","Queens",40.744194,-73.906352
261,"World Trade Center","Manhattan",40.709138,-74.013069
262,"Yorkville East","Manhattan",40.775953,-73.946483
263,"Yorkville West","Manhattan",40.778766,-73.951008
